Metric;Static (S) or Temporal (T) Data Layer, or Not Available/Applicable (NA);Pressure (P), State(S), Response (R), Benefit (B) ;Top-down (T), Bottom-up (B), Neither (0), Unknown (U) [State metrics only];Significance (S), Intactness (I), Neither (0), Unknown (U) [State metrics only];Realm;Composition;Function;Structure;Biosfere level;Ecosystem level;Community level;Species level;Functional group level;Individual level;Genome level;Chromosome level;Gene level;Enzyme level;Type of organism;Business Use
A global 0.05° dataset for gross primary production of sunlit and shaded vegetation canopies from 1992 to 2020;T;S;B;0;Terrestrial;0;1;0;1;1;0;0;0;0;0;0;0;0;Plants;N
A Global Database of Field-observed Leaf Area Index in Woody Plant Species, 1932-2011;T;S;B;0;Terrestrial;0;0;0;1;1;0;1;1;0;0;0;0;0;Plants;N
A global database of land management, land-use change and climate change effects on soil organic carbon;T;S,P;B;0;Terrestrial;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants;N
A Global Map of Natural Capital (new version in development);S;S,B;0;0;Terrestrial and Marine;1;1;0;1;1;0;0;0;0;0;0;0;0;Not applies;N
A practical approach to measuring the biodiversity impacts of land conversion;T;S,P;T;I;Terrestrial;1;0;0;0;1;0;0;0;0;0;0;0;0;Plants;N
Aboveground Biomass Carbon Density 2010;S;S;B;0;Terrestrial;0;1;0;1;1;0;0;0;0;0;0;0;0;Plants;N
Above-ground biomass stock in forest (tonnes/ha);T;S,B;B;0;Terrestrial;0;1;0;0;1;0;0;0;0;0;0;0;0;Plants;N
Agrobiodiversity Index (ABDI);NA;S,B;B;0;Terrestrial;1;0;0;0;1;0;0;1;0;0;0;0;0;Plants;Y
Amphibian phylogenetic diversity;S;S;B;S;Freshwater;1;0;0;1;1;1;1;1;0;0;0;0;0;Amphibians;N
Annual Tropical Primary Tree Cover Loss (Ha);T;S,P;B;I;Terrestrial;0;0;1;0;1;0;0;0;0;0;0;0;0;Plants;N
Area of Habitat (AoH);S;S;B;S;Terrestrial;1;0;0;1;1;1;1;1;0;0;0;0;0;Plants;N
Area of mangroves;T;S;B;0;Terrestrial and Marine;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants;N
Area of wetlands (Spatial extent of vegetated wetlands);NA;S;B;0;Freshwater and Marine;0;0;1;1;1;0;0;0;0;0;0;0;0;Plants;N
Bamboo Distribution;S;S;B;0;Terrestrial;1;0;0;1;1;0;0;0;0;0;0;0;0;Plants;N
Belowground Biomass Carbon Density 2010;S;S;B;0;Terrestrial;0;1;0;1;1;0;0;0;0;0;0;0;0;Plants;N
Benchmark map of forest carbon stocks in tropical regions across three continents;S;S;B;0;Terrestrial;0;1;0;0;1;0;0;0;0;0;0;0;0;Plants;N
BERI v2: Bioclimatic Ecosystem Resilience Index: 30s global time series;T;S,P;B;I;Terrestrial;0;1;0;1;1;0;0;0;0;0;0;0;0;Plants;N
BIEN plant data (observations, traits, geographic ranges, plots);S;S;B;0;Terrestrial;1;0;0;1;1;1;1;1;0;0;0;0;0;Plants;N
Biodiversity Habitat Index (BHI);T;S;B;0;Terrestrial;0;1;0;1;1;0;0;0;0;0;0;0;0;Plants Animals ;N
Biodiversity Hotspots Revisited;S;S;T;S;Terrestrial;1;0;0;0;1;0;0;0;0;0;0;0;0;Plants Animals ;N
