ID;Realm;Aspect of variation;Composition;Function;Structure;Biosfere level;Ecosystem level;Community level;Species level;Functional group level;Individual level;Genome level;Chromosome level;Gene level;Enzyme level;Multiscale level;data procedence;Based on red list;Based on Habitat directive;Dcoument;EBV class;EBV name;Type of organism ;Type of organism 2 ;Step in identification process;Spatial resolution unit;Temporal resolution           unit          ;Observations
Eco_CC_com_ppla_FW;Freshwater;Composition;1;0;0;0;0;1;1;1;0;0;0;0;0;3;field;0;0;Water Framework Directive Intercalibration Technical Reports;Community composition;Com comp phytoplankton;plant;Plant;User & Policy Needs Assessment;ECRINS spatial units between fundamental catchment units and L2.;1 year, weekly-monthly during growing season;Based in Ecrins (European catchments and rivers network system). Need to revise posible flows of information as spatial bias - do not include Denmark for instance. Also say changes from a reference condiction, but what should this reference be?
Eco_CC_com_mphy_FW;Freshwater;Composition;1;0;0;0;0;1;1;1;0;0;0;0;0;3;field;0;0;Water Framework Directive Intercalibration Technical Reports;Community composition;Com comp of macrophytes;plant;Plant;User & Policy Needs Assessment;ECRINS spatial units between fundamental catchment units and L2.;3 to 6 years;Based in Ecrins (European catchments and rivers network system). Need to revise posible flows of information as spatial bias - do not include Denmark for instance. Also say changes from a reference condiction, but what should this reference be?
Eco_CC_com_pben_FW;Freshwater;Composition;1;0;0;0;0;1;1;1;0;0;0;0;0;3;field;0;0;Water Framework Directive Intercalibration Technical Reports;Community composition;Com comp of phytobenthos;plant;Plant;User & Policy Needs Assessment;ECRINS spatial units between fundamental catchment units and L2.;3 to 6 years;Based in Ecrins (European catchments and rivers network system). Need to revise posible flows of information as spatial bias - do not include Denmark for instance. Also say changes from a reference condiction, but what should this reference be?
Eco_CC_com_inve_FW;Freshwater;Composition;1;0;0;0;0;1;1;1;0;0;0;0;0;3;field;0;0;Water Framework Directive Intercalibration Technical Reports;Community composition;Com comp of benthic invertebrates;invertebrates;Animal;User & Policy Needs Assessment;ECRINS spatial units between fundamental catchment units and L2.;3 to 6 years;What about the non benthic invertebrates in freshwater? Based in Ecrins (European catchments and rivers network system). Need to revise posible flows of information as spatial bias - do not include Denmark for instance
Eco_CC_com_fish_FW;Freshwater;Composition;1;0;0;0;0;1;1;1;0;0;0;0;0;3;field;0;0;Water Framework Directive Intercalibration Technical Reports;Community composition;Com comp of fishes;fish;Animal;User & Policy Needs Assessment;ECRINS spatial units between fundamental catchment units and L2.;3 to 6 years;Based in Ecrins (European catchments and rivers network system). Need to revise posible flows of information as spatial bias - do not include Denmark for instance. Also say changes from a reference condiction, but what should this reference be?
Eco_CC_com_zoop_FW;Freshwater;Composition;1;0;0;0;0;1;1;1;0;0;0;0;0;3;field;0;0;Water Framework Directive Intercalibration Technical Reports;Community composition;Com comp of zooplankton;invertebrates;Animal;Internal review process;ECRINS spatial units between fundamental catchment units and L2;1 to 3 years;Based in Ecrins (European catchments and rivers network system). Need to revise posible flows of information as spatial bias - do not include Denmark for instance. Also say changes from a reference condiction, but what should this reference be?
Eco_CC_com_fung_FW;Freshwater;Composition;1;0;0;0;0;1;0;1;0;0;0;0;0;2;field;0;0;NA;Community composition;Com compof aquatic fungi;fungi;Fungi;Comments from participants of the EBV workflows- and WP4/WP5 showcases & co-design workshops;1x1 km (lakes and rivers/streams) or per river segment;1 to 3 years (sample most active season);Based in Ecrins (European catchments and rivers network system). Need to revise posible flows of information as spatial bias - do not include Denmark for instance. Also say changes from a reference condiction, but what should this reference be?
Eco_CC_com_micr_MA;Marine;Composition;1;0;0;1;1;1;0;1;0;0;0;0;0;4;model;0;0;Marine strategy Frmaework Directive;Community composition;Fun comp of marine plankton;plant;Plant;User & Policy Needs Assessment;10x10km - 50x50km;1 year;"Very broad scale model with fine resolution; what would be the ecological meaning of the changes in functional composition and composition? "
Eco_CC_abn_inve_MA;Marine;Composition;1;0;0;0;1;1;0;1;0;0;0;0;0;3;model;0;0;AZTI´S Marine Biotic Index;Community composition;Com abund of functional groups of soft-bottom macroinvertebrates;invertebrates;Animal;Comments from participants of the EBV workflows- and WP4/WP5 showcases & co-design workshops;300x300m;1 year;No ecological meaning! 
Eco_CC_bio_inve_TER;Terrestrial;Composition;1;0;0;0;0;0;0;1;0;0;0;0;0;0;unknown;0;0;NA;Community composition;Com biomass of funct gr of terrestrial arthropods;invertebrates;Animal;Expert workshop;Small territorial units for statistics (NUTS) from Eurostat (1166 regions at NUTS 3 level). Or 10x10km - 50x50km;3 to 6 years;"No ecological meaning! It will have some meaning if a set of functional groups was predefined with a ecological question in the background, but no just measuring biomas of decomposers or predators. Abundance in number of individuals rather biomass could be more accurate; also ratios of abundances could be interesting to show variation in functionality (i.e. predators vs herbivores). Spatial resolution for NUTS have no ecological meaning; make no sense to measure biodiversity in political grids. "
Eco_CC_bio_micr_TER;Terrestrial;Composition;1;1;0;0;0;0;1;1;0;0;0;0;0;2;filed;0;0;NA;Community composition;Com biomass of soil microbes;microbes;microbes;Internal review process;1x1km - 10x10km;3 to 6 years;"It measures composition and function becuse of measurements of soil respiration and biomass (microbes); It has no meaning to meaure in such broad resolution (soil assemblages have great variations at very fine scales)."
Eco_CC_abn_inse_TER;Terrestrial;Composition;1;1;0;0;0;1;0;1;0;0;0;0;0;2;field/modeling?;0;0;EU Pollinator Monitoring Scheme;Community composition;Com abund & taxonomic diversity of pollinator;invertebrates;Animal;User & Policy Needs Assessment;Small territorial units for statistics (NUTS) from Eurostat (1166 regions at NUTS 3 level). Or 10x10km - 50x50km;3 to 6 years;Why does it say predicted number of individuals as the main metric if it is based in abundance from in situ measurements?? Doesnt seem realistic the high numer of sites >2000 if need to high taxonomic resolution (functional groups maybe make sense here)
